texto,texto_limpio,categoria_id,categoria_nombre,respuesta_generalizada
Pagos derechos de grado. 002603468581,Pagos derechos de grado. 002603468581,7,Pago de derechos de grado,"Para las solicitudes relacionadas con el pago de derechos de grado, se debe verificar la información correspondiente al trámite y al pago realizado. Cuando el usuario solicite orientación, se debe indicar el procedimiento aplicable y, cuando presente un comprobante, validar la información necesaria para continuar con el proceso de grado."
"solicitud revisión perfil administrativo para gestiónUEX dra Mariateresa Cellurale Reciban un atento saludo. Durante la última auditoría de procesos de formación y docencia, el pasado 24 de febrero, al acceder yo a la plataforma de gestión UEX, el personal de la oficina de riesgo y cumplimiento pudo observar que algunas de las funcionalidades no están operando correctamente, lo cual puede relacionarse con el hecho de que mi perfil de directora del Departamento de Derecho Romano no esté configurado en la aplicación ISOlución.
Agradezco se revisen las funcionalidades relacionadas y se corrija, de ser el caso, el error de cargue del perfil del administrativo.
Atentamente","solicitud revisión perfil administrativo para gestiónUEX dra Mariateresa Cellurale Reciban un atento saludo. Durante la última auditoría de procesos de formación y docencia, el pasado 24 de febrero, al acceder yo a la plataforma de gestión UEX, el personal de la oficina de riesgo y cumplimiento pudo observar que algunas de las funcionalidades no están operando correctamente, lo cual puede relacionarse con el hecho de que mi perfil de",2,Acceso y recuperación del correo institucional,"Para recuperar el acceso al correo institucional, el usuario debe realizar el proceso institucional de recuperación de contraseña cuando este se encuentre disponible. Si la cuenta está bloqueada, deshabilitada o el proceso de recuperación no funciona, se debe validar el estado de la cuenta y realizar la gestión necesaria para restablecer el acceso."
"Suspensión semestre Muy buenas tardes, saludos cordiales.
Mediante la presente, quisiera solicitar información correspondiente a la suspensión de los créditos o materias correspondientes al programa que actualmente me encuentro cursando cuyo nombre es Marketing Político y Estrategias de Campaña, teniendo en cuenta que por responsabilidades laborales y obligaciones personales, no puedo continuar asistiendo de forma regular a las clases presenciales y ello me ocasiona tener que realizar la presente solicitud, de tal manera que agradezco que amablemente me den información sobre el trámite o paso a paso que debo realizar para la suspensión de estas materias. 
Y asimismo, conocer mi estado administrativo que hacía en cuestión de matrícula y créditos.
Atentamente,
JHON FREDDY SALDAÑA LEOPARDO","Suspensión semestre Muy buenas tardes, saludos cordiales.
Mediante la presente, quisiera solicitar información correspondiente a la suspensión de los créditos o materias correspondientes al programa que actualmente me encuentro cursando cuyo nombre es Marketing Político y Estrategias de Campaña, teniendo en cuenta que por responsabilidades laborales y obligaciones personales, no puedo continuar asistiendo de forma regular a las clases presenciales y ello me ocasiona tener que realizar la presente solicitud, de tal manera que agradezco que amablemente me den información sobre el trámite o paso a paso que debo realizar para la suspensión de estas materias. 
Y asimismo, conocer mi estado administrativo que hacía en cuestión de matrícula y créditos.",1,Consulta y seguimiento de tickets o solicitudes,"Para consultar el estado, avance o respuesta de una solicitud, ticket, REQ o INC, se debe verificar el número del caso y consultar su información en los sistemas institucionales. Con los datos del caso se podrá informar al usuario sobre su estado actual, la gestión realizada y, cuando corresponda, los pasos pendientes para su atención."
"Orden de matrícula - Ciencia de Datos Buenas ***URL*** María Martín Vargas1141324548Ciencia de datos - Departamento de matemá***CORREO***3026499171Muchas gracias.
On Fri, Mar 13, 2026 at 9:49 AM Mesa Estratégica de Servicios <***CORREO***>","Orden de matrícula - Ciencia de Datos Buenas ***URL*** María Martín Vargas1141324548Ciencia de datos - Departamento de matemá***CORREO***3026499171Muchas gracias.
On Fri, Mar 13, 2026 at 9:49 AM Mesa Estratégica de Servicios <***CORREO***>",20,Matrícula y órdenes de matrícula,"Las solicitudes relacionadas con matrícula y órdenes de matrícula deben ser atendidas verificando el estado académico y administrativo del estudiante y la información de la orden correspondiente. Según el caso, se debe gestionar la generación, modificación o corrección de la orden y orientar al usuario sobre los pasos necesarios para continuar con su matrícula."
"Recordatorio fecha límite - Pago Derechos de Grado Buen día 
Comparto soporte de pago ***URL*** Ortegon Espitia ***DOCUMENTO***.","Recordatorio fecha límite - Pago Derechos de Grado Buen día 
Comparto soporte de pago ***URL*** Ortegon Espitia ***DOCUMENTO***.",5,Órdenes de pago,"Las solicitudes relacionadas con órdenes de pago deben ser revisadas de acuerdo con el tipo de trámite requerido. Se debe validar la información de la orden y, según el caso, gestionar su generación, modificación, consulta o corrección. Al usuario se le debe indicar el estado de la solicitud y las acciones necesarias para continuar el trámite."
"GENERAR ORDEN DE MATRICULA RODRÍGUEZ ROMERO CATALINA ***DOCUMENTO*** 2026-1 - REQ 2026-019043 Hola, buenos días. 
Según tengo entendido educación estrella hace una semana aprobó el pago y ya debía estar cancelada la matrícula. Sin embargo, quiero confirmar porque hoy me llego una nueva factura","GENERAR ORDEN DE MATRICULA RODRÍGUEZ ROMERO CATALINA ***DOCUMENTO*** 2026-1 - REQ 2026-019043 Hola, buenos días. 
Según tengo entendido educación estrella hace una semana aprobó el pago y ya debía estar cancelada la matrícula. Sin embargo, quiero confirmar porque hoy me llego una nueva factura",20,Matrícula y órdenes de matrícula,"Las solicitudes relacionadas con matrícula y órdenes de matrícula deben ser atendidas verificando el estado académico y administrativo del estudiante y la información de la orden correspondiente. Según el caso, se debe gestionar la generación, modificación o corrección de la orden y orientar al usuario sobre los pasos necesarios para continuar con su matrícula."
"Legalización Pago Derechos de Grado Buenas tardes:
Adjunto envío el comprobante de pago de los derechos de grado del programa Especialización en Derecho Constitucional, para que por favor me ayuden con el trámite de legalización y expedición del título académico.
Quedo atenta a cualquier instrucción adicional.
Cordialmente,
CAROLINA GALLO ARIZACel. ***TELEFONO***","Legalización Pago Derechos de Grado Buenas tardes:
Adjunto envío el comprobante de pago de los derechos de grado del programa Especialización en Derecho Constitucional, para que por favor me ayuden con el trámite de legalización y expedición del título académico.
Quedo atenta a cualquier instrucción adicional.",7,Pago de derechos de grado,"Para las solicitudes relacionadas con el pago de derechos de grado, se debe verificar la información correspondiente al trámite y al pago realizado. Cuando el usuario solicite orientación, se debe indicar el procedimiento aplicable y, cuando presente un comprobante, validar la información necesaria para continuar con el proceso de grado."
"Pago semestre con patrocinio Buenos días,
Amablemente solicito me puedan compartir un instructivo para poder hacer el proceso para pagar mi semestre con patrocinio. Estoy intentando hacerlo como lo hice el semestre pasado pero no me permite seleccionar la casilla para enviar los documentos: 

Envío mis datos y del patrocinados para verificación:
Empresa patrocinadora: BP LATIN AMERICA LLC - SUCURSAL COLOMBIANIT: 900.718.305-9Estudiante: Ingrid Lorena Pardo CárdenasCédula de Ciudadanía: 1.019.012.196Programa: Especialización en Compliance y Gestión del RiesgoFacultad: Contaduría Pública
Este patrocinio será del 100%.
De antemano muchas gracias por la ayuda.
Saludos,Ingrid P.","Pago semestre con patrocinio Buenos días,
Amablemente solicito me puedan compartir un instructivo para poder hacer el proceso para pagar mi semestre con patrocinio. Estoy intentando hacerlo como lo hice el semestre pasado pero no me permite seleccionar la casilla para enviar los documentos: 

Envío mis datos y del patrocinados para verificación:
Empresa patrocinadora: BP LATIN AMERICA LLC - SUCURSAL COLOMBIANIT: 900.718.305-9Estudiante: Ingrid Lorena Pardo CárdenasCédula de Ciudadanía: 1.019.012.196Programa: Especialización en Compliance y Gestión del RiesgoFacultad: Contaduría Pública
Este patrocinio será del 100%.
De antemano muchas gracias por la ayuda.
Saludos,Ingrid P.",7,Pago de derechos de grado,"Para las solicitudes relacionadas con el pago de derechos de grado, se debe verificar la información correspondiente al trámite y al pago realizado. Cuando el usuario solicite orientación, se debe indicar el procedimiento aplicable y, cuando presente un comprobante, validar la información necesaria para continuar con el proceso de grado."
"Información en la plataforma Cordial saludo
Solicito revisión de mi usuario toca vez que no me es posible visualizar mis cursos. Hace unas semanas podia ver todo ahora solo logro ver un curso de este semestre
Que atenta a sus indicaciones

Gracias
Edna Santamaría
22461061","Información en la plataforma Cordial saludo
Solicito revisión de mi usuario toca vez que no me es posible visualizar mis cursos. Hace unas semanas podia ver todo ahora solo logro ver un curso de este semestre
Que atenta a sus indicaciones

Gracias
Edna Santamaría
22461061",15,Educación Estrella,"Las solicitudes relacionadas con Educación Estrella deben ser atendidas identificando si corresponden a financiación, descuentos, pagos u otra gestión asociada al programa. Se debe verificar la información del caso y orientar al usuario sobre el estado de su solicitud y las condiciones o pasos necesarios para continuar el trámite."
"Notificación de desbloqueo. Hola! Buenos días Aún no recibo mi orden de pago del semestre 2026-2, ya he pasado a la facultad y me dicen que debo estar a la espera de mesa estratégica para que por favor me colaboren. 
María Alejandra Bernal Romero C.c 1.014.737.517
Cel ***TELEFONO***","Notificación de desbloqueo. Hola! Buenos días Aún no recibo mi orden de pago del semestre 2026-2, ya he pasado a la facultad y me dicen que debo estar a la espera de mesa estratégica para que por favor me colaboren. 
María Alejandra Bernal Romero C.c 1.014.737.517
Cel ***",5,Órdenes de pago,"Las solicitudes relacionadas con órdenes de pago deben ser revisadas de acuerdo con el tipo de trámite requerido. Se debe validar la información de la orden y, según el caso, gestionar su generación, modificación, consulta o corrección. Al usuario se le debe indicar el estado de la solicitud y las acciones necesarias para continuar el trámite."
